0.00000 0.00000 0.00000
0.00000 25.00000 25.00000
25.00000 25.00000 0.00000
25.00000 25.00000 50.00000
50.00000 25.00000 0.00000
50.00000 25.00000 25.00000
75.00000 25.00000 0.00000
75.00000 25.00000 50.00000
150.00000 0.00000 0.00000
150.00000 25.00000 25.00000
125.00000 25.00000 0.00000
125.00000 25.00000 50.00000
100.00000 25.00000 0.00000
100.00000 25.00000 25.00000
75.00000 25.00000 0.00000
75.00000 25.00000 50.00000
0.00000 50.00000 0.00000
0.00000 25.00000 25.00000
25.00000 25.00000 0.00000
25.00000 25.00000 50.00000
50.00000 25.00000 0.00000
50.00000 25.00000 25.00000
75.00000 25.00000 0.00000
75.00000 25.00000 50.00000
150.00000 50.00000 0.00000
150.00000 25.00000 25.00000
125.00000 25.00000 0.00000
125.00000 25.00000 50.00000
100.00000 25.00000 0.00000
100.00000 25.00000 25.00000
75.00000 25.00000 0.00000
75.00000 25.00000 50.00000
